,abbr,date,daily_records,tested,positive,deaths,population,multipliler,tested_pm,positive_pm,deaths_pm,daily_tests,daily_positive,daily_deaths,daily_tests_pm,daily_positive_pm,daily_deaths_pm,daily_tests_7day_mean,daily_positive_7day_mean,daily_deaths_7day_mean,daily_tests_pm_7day_mean,daily_positive_pm_7day_mean,daily_deaths_pm_7day_mean,daily_test_rk,daily_positive_rk,daily_deaths_rk,daily_test_pm_rk,daily_positive_pm_rk,daily_deaths_pm_rk
81,NE,2020-03-09,1,50.0,3.0,0.0,1934408,0,25.84770120884529,1.5508620725307174,0.0,27.0,2.0,0.0,13.957758652776457,1.0339080483538114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
82,NH,2020-03-09,1,56.0,4.0,0.0,1359711,0,41.1852224480055,2.941801603428964,0.0,9.0,0.0,0.0,6.619053607715173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
83,NJ,2020-03-09,1,59.0,10.0,0.0,8882190,0,6.642505958553015,1.1258484675513585,0.0,22.0,4.0,0.0,2.4768666286129886,0.45033938702054344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
84,NM,2020-03-09,1,57.0,0.0,0.0,2096829,0,27.18390483916428,0.0,0.0,11.0,0.0,0.0,5.246016723347495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
85,NV,2020-03-09,0,14.0,0.0,0.0,3080156,0,4.545224332793534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
86,NY,2020-03-09,1,361.0,142.0,0.0,19453561,0,18.557013803282597,7.29943479242695,0.0,0.0,37.0,0.0,0.0,1.901965403660543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
87,OH,2020-03-09,1,19.0,3.0,0.0,3193694,0,5.949223688932002,0.9393511087787371,0.0,5.0,3.0,0.0,1.5655851812978954,0.9393511087787371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
88,OK,2020-03-09,0,9.0,1.0,0.0,11689100,0,0.7699480712800815,0.08554978569778683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
89,OR,2020-03-09,1,231.0,14.0,0.0,3956971,0,58.37798659631319,3.538059793715951,0.0,64.0,0.0,0.0,16.17398762841578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
90,PA,2020-03-09,2,0.0,10.0,0.0,4217737,0,0.0,2.370939676893083,0.0,0.0,6.0,0.0,0.0,1.4225638061358499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
91,PR,2020-03-09,0,0.0,0.0,0.0,12801989,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
92,RI,2020-03-09,1,62.0,3.0,0.0,1059361,0,58.52584718523714,2.8318958315437324,0.0,62.0,1.0,0.0,58.52584718523714,0.9439652771812441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
93,SC,2020-03-09,0,0.0,0.0,0.0,5148714,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
94,SD,2020-03-09,1,11.0,0.0,0.0,884659,1,12.434169550075227,0.0,0.0,6.0,0.0,0.0,6.782274300041033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
95,TN,2020-03-09,1,0.0,3.0,0.0,6829174,0,0.0,0.4392917796500719,0.0,0.0,3.0,0.0,0.0,0.4392917796500719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
96,TX,2020-03-09,1,0.0,12.0,0.0,28995881,0,0.0,0.413851884686656,0.0,0.0,4.0,0.0,0.0,0.13795062822888532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
97,UT,2020-03-09,0,0.0,1.0,0.0,3205958,0,0.0,0.31191924535505455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
98,VA,2020-03-09,1,50.0,3.0,0.0,8535519,0,5.857874606101867,0.351472476366112,0.0,6.0,1.0,0.0,0.7029449527322242,0.11715749212203733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
99,VT,2020-03-09,1,35.0,1.0,0.0,623989,1,56.090732368679575,1.602592353390845,0.0,6.0,0.0,0.0,9.615554120345067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
100,WA,2020-03-09,2,1311.0,162.0,21.0,7614893,0,172.16262920568943,21.274100634112653,2.757753785903492,1311.0,60.0,5.0,172.16262920568943,7.879296531152834,0.6566080442627364,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
101,WI,2020-03-09,0,44.0,1.0,0.0,5822434,0,7.556977030568316,0.1717494779674617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
102,WV,2020-03-09,0,5.0,0.0,0.0,1792147,0,2.789949708366557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
103,WY,2020-03-09,0,0.0,0.0,0.0,578759,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
104,AK,2020-03-10,1,47.0,0.0,0.0,731545,1,64.24758558940324,0.0,0.0,15.0,0.0,0.0,20.50454859236273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
105,AL,2020-03-10,0,0.0,0.0,0.0,4903185,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
106,AR,2020-03-10,0,12.0,0.0,0.0,3017804,0,3.9764013832574947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
107,AZ,2020-03-10,1,84.0,6.0,0.0,7278717,0,11.540495392251135,0.8243210994465096,0.0,28.0,1.0,0.0,3.846831797417045,0.13738684990775152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
108,CA,2020-03-10,1,515.0,133.0,1.0,39512223,0,13.03394142111417,3.366047007782883,0.025308624118668292,0.0,19.0,0.0,0.0,0.48086385825469735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
109,CO,2020-03-10,3,298.0,16.0,0.0,5758736,0,51.74746680521559,2.7783874794746626,0.0,23.0,7.0,0.0,3.993932001744824,1.2155445222701649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
110,CT,2020-03-10,1,56.0,2.0,0.0,3565287,0,15.70701040337005,0.5609646572632161,0.0,9.0,1.0,0.0,2.5243409576844726,0.28048232863160805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
